nohup: ignoring input
 INFO  Accepting connections at http://localhost:4173
 HTTP  6/4/2025 7:41:17 PM 127.0.0.1 GET /
 HTTP  6/4/2025 7:41:17 PM 127.0.0.1 Returned 404 in 22 ms
 HTTP  6/4/2025 7:41:17 PM 127.0.0.1 GET /favicon.ico
 HTTP  6/4/2025 7:41:17 PM 127.0.0.1 Returned 404 in 3 ms
 HTTP  6/4/2025 7:41:31 PM 127.0.0.1 GET /
 HTTP  6/4/2025 7:41:31 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  6/4/2025 7:41:32 PM 127.0.0.1 GET /favicon.ico
 HTTP  6/4/2025 7:41:32 PM 127.0.0.1 Returned 404 in 2 ms
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:56 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:57 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:58 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:51:59 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:16 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:17 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:18 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 Returned 301 in 2 ms
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:52:19 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:13 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:13 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:14 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 0 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 1 ms
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 GET /index.html
 HTTP  6/4/2025 7:53:15 PM 127.0.0.1 Returned 301 in 1 ms
